url,job_title,company,company_url,location,job_type,job_function,career_level,salary,posted_date,industries,summary,responsibilities,qualifications,domain,jd_id
https://www.linkedin.com/jobs/view/cairo-cabin-crew-opportunities-dubai-based-relocation-provided-at-emirates-4324714410?skipRedirect=true&locale=en_US,"Cairo Cabin Crew Opportunities (Dubai Based, Relocation Provided)",Emirates,https://ae.linkedin.com/company/emirates?trk=public_jobs_topcard-org-name,"Cairo, Egypt",Full-time,"Customer Service, General Business, and Other",Associate,"Basic salary = AED 4,980 / month,",2 weeks ago,Airlines and Aviation and Hospitality,"Job Purpose
A personality that shines, the ability to adapt to any situation and make people feel at ease. These are a few of the qualities we’re looking for in our cabin crew.
As the face of Emirates, you’ll be the person customers turn to for help and direction when they fly with us, so you need to be friendly, observant and able to provide the right support.
Being a member of the cabin crew is so much more than a service role - safety is our highest priority. You’ll need to lead confidently and take control when it comes to managing aircraft services, security, and safety procedures. This comes from the world-class learning experience our crew receive at our state-of-the-art facility in Dubai.",,"Here are some other things we look for in our cabin crew:
You’ve had more than a year’s experience in hospitality/customer service
You have a positive attitude and the natural ability to provide excellent service in a team environment, dealing with people from many cultures
Your minimum qualification is high school graduate (Grade 12)
You need to be fluent in written and spoken English (ability to speak another language is an advantage)
You’re at least 160cm tall and can reach 212 cm while standing on tiptoes, to enable you to reach emergency equipment on all aircraft types
No visible tattoos while you’re in Emirates cabin crew uniform (without covering them with bandages or cosmetics)
Before clicking the Apply button, please keep the following
documents
ready to submit with your application:
Recent CV in English
Recent photo
Salary & Benefits
Your pay is made up of three components:
a fixed basic salary,
an hourly pay for operated flights and
an overseas meal allowance.
Basic salary = AED 4,980 / month,
Flying Pay = AED 69.60 / hour based on avg. 80-100 hours / month,
Average Total Pay = AED 11,244 / month (~USD 3,100, EUR 2,600 or GBP 2,280)
* These are approximate numbers for Grade II (Economy Class).
Meal allowances for night stops are credited to the salary in arrears the following month.
Hotel accommodation as well as transport to and from the airport is provided by the company.",Support,1
https://www.linkedin.com/jobs/view/receptionist-at-al-ahly-momkn-4334585015?skipRedirect=true&locale=en_US,Receptionist,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Qesm El Maadi, Cairo, Egypt",Full-time,Information Technology,Entry level,,1 week ago,Financial Services,"Welcome guests and candidates, answering screening phone calls, and addressing complaints.
Handling The POS payments (Expenses and employees)
Handling and organizing the booking of the meeting room, ensuring everything runs smoothly without any conflict. Helping in coordinating outdoor events and meetings.
Greet visitors and candidates carefully to make the greatest positive impact and lasting impression for them.
Organize the booking of meeting rooms and outdoor events.to ensure everything runs smoothly without any conflict.
Facilitate POS payments for “employee’s expenses” to assist all staff members in paying their invoices.
Take care of complaints by returning all incoming calls, whether from overseas or domestically, to resolve them.
Make sure every shipment arrives by using the system's shipping traces to stay up to date on the status of shipments",,"Not less than 3 years of previous experience as a receptionist.
Good Communication.
Organizer.
Multitasking.
Good Command of English language.
Problem solving.
Benefits
Embark on an exciting journey with the Fin-Tech Experts.
Join a workplace that actively encourages and supports all talents.
A support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self.
Join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.",IT,2
https://www.linkedin.com/jobs/view/future-leaders-program-2025-marketing-at-beyti-an-almarai-subsidiary-4339681310?skipRedirect=true&locale=en_US,Future Leaders Program 2025 - Marketing,Beyti - an Almarai Subsidiary,https://eg.linkedin.com/company/beyti-an-almarai-subsidiary?trk=public_jobs_topcard-org-name,"Cairo, Egypt",Full-time,Marketing,Entry level,,4 days ago,Food and Beverage Manufacturing,Beyti is looking for young graduates and early career professionals to join its Future Leaders Program that will start on December 2025.,,"Participants benefit from a rich variety of structured training, individual mentoring, and opportunities to experience different aspects of the business.
Join us for an opportunity that will advance you in every way. We are committed to providing you with the opportunities, challenges and recognition that will allow you discovering your full potential in a dynamic and team-oriented environment.
This 36 months program is designed to develop Beyti Future Leaders in the Marketing track.
Qualifica
tions
Bachelor's degree in business administration
Newly Graduates: ONLY Graduates of 2023, 2024 & 2025.
Grade: Minimum grade of ""Very good"" or Equivalent GPA
Previous internship experience is a MUST
Good Command of MS Office (Excel & Power point)
Fluent English (written and spoken)",Business,3
https://www.linkedin.com/jobs/view/account-manager-key-accounts-at-juhayna-food-industries-4314316866?skipRedirect=true&locale=en_US,Account Manager - Key Accounts,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"Giza, Al Jizah, Egypt",Full-time,Sales and Distribution,Entry level,,3 weeks ago,Food and Beverage Services,"Job Purpose
Responsible for managing relationships with designated accounts, ensuring sales growth, and maximizing market share by implementing company strategies and maintaining a high standard of customer service
Key Accountabilities
Manage day-to-day sales activities and relationships with assigned retail accounts.
Maintain a physical presence in the field daily to reinforce the account strategy, in-store execution & adherence to agreements.
Monitor and achieve sales targets, ensuring growth and profitability.
Implement promotional activities and in-store merchandising strategies.
Ensure product availability and correct placement in stores.
Analyze sales data and provide feedback to senior management on market trends.
Handle customer complaints and provide solutions to ensure client satisfaction.
Coordinate with logistics to ensure timely delivery of products",,"Bachelor's degree in Business Administration, or any related field.
From 0-2 years of proven experience in Sales, preferably within the FMCG sector.",Business,4
https://www.linkedin.com/jobs/view/area-sales-manager-at-juhayna-food-industries-4321602454?skipRedirect=true&locale=en_US,Area Sales Manager,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"Sawhāj, Suhaj, Egypt",Full-time,Sales,Mid-Senior level,,6 days ago,"Manufacturing, Dairy Product Manufacturing, and Food and Beverage Services","Job description:
Who we are
For over three decades, Juhayna Food Industries has been a pioneer in Egypt’s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. Since 1983, we have built trusted household brands, expanding our presence across Egypt and the Middle East through a commitment to high-quality, safe, and healthy products.
Today, with four state-of-the-art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000-feddan dairy farm housing over 7,000 milking cows, Juhayna continues to set benchmarks for premium Egyptian products. Our success stems from our people, who embody the values of
Integrity, Achievement, Continuous Improvement, Innovation, Ownership, and Positivity.
Job Purpose
Develop profitable new business and grow existing customer base by selection, coaching, training the territory team (sell through others). Help the company achieve Volume, Profit, and superiority In-store presence.","Convert the Region’s sales, net revenue, and market development objectives to all Unit Sales Managers within the Region.
Consistently meets, often exceeds expectations with sales fundamentals and volume by continuously developing and recommending programs that deliver the results while spending less.
Provide ongoing coaching to all teams within the region and ensure they are properly trained and motivated to achieve their objectives.
Ensure proper roll out and sustain the implementation of best practice tools within the region.
Negotiate and sign the yearly contract with all the customers as per the company's policies and areas of interest.
Develop strong relationship with Key Accounts.
Report on competitive activities for Regional Sales Manager.","Responsible for communicating volume forecasts and leading the execution of the business plans to deliver them.
Takes a proactive leadership role in selling to customers, anticipating, and resolving emerging problems.
Ensure annual evaluations are conducted at 100% of the function employees.
Role model collaboration and team building to demonstrate to employees the culture the company wants to build.
Identifies key development people and can provide accelerated training and development to such candidates.
Conduct annual appraisals with direct reports using the HR tools for building capability within the Region.
Submit reports concerning:
Sales /volume and net revenue targets for the Region
Market Share & Trade KPIs objectives (SKU's distribution, product visibility)
Route KPIs, productivity, positive calls, success rate, drop size, etc.
What you will bring to the role
Bachelor’s degree in business or any equivalent.
From +10 years of experience.
5 years of experience in the same role with FMCG Company.
Good command of English language
Execute and operationalize a business strategy
Ability to effectively deal with people of diverse background",Business,5
https://www.linkedin.com/jobs/view/financial-controller-%E2%80%93-operations-at-beyti-an-almarai-subsidiary-4339962767?skipRedirect=true&locale=en_US,Financial Controller – Operations,Beyti - an Almarai Subsidiary,https://eg.linkedin.com/company/beyti-an-almarai-subsidiary?trk=public_jobs_topcard-org-name,"Alexandria, Egypt",Full-time,Finance,Mid-Senior level,,3 days ago,Food and Beverage Manufacturing and Dairy Product Manufacturing,,"* Own and manage the standard costing process for all manufactured products, ensuring accurate and timely updates of bill of materials (BOM), routings, and overhead absorption rates.
* Analyze manufacturing variances (material, labor, overhead, yield, and scrap) and drive root cause analysis with operations to improve cost performance.
* Partner with Supply Chain, Procurement, and Logistics to provide financial insight into material cost trends, supplier performance, and freight/logistics costs.
* Monitor and report inventory levels, inventory valuation, and slow-moving or obsolete stock provisions.
* Support strategic sourcing initiatives through cost-benefit analysis and total landed cost modeling.
* Track and analyze freight, warehousing, and distribution costs to identify efficiency and savings opportunities.
* Provide financial input into Sales & Operations Planning (S&OP), capacity planning, and production scheduling decisions.
* Prepare and analyze monthly plant financial statements, including P&L, balance sheet, and working capital metrics.
* Ensure accurate and timely month-end close for the plant, including accruals, inventory adjustments, and cost allocations.","* Support internal and external audits related to plant operations and inventory.
* Partner with Operations and Engineering teams to assess capital expenditure (CapEx) projects, ROI, and post-implementation reviews.
* Lead the plant budgeting and forecasting process, including standard cost, overhead recovery, and inventory valuation projections.
* Bachelor’s degree in accounting, Finance, or related field; CPA / CMA / MBA preferred.
* Minimum 12 years of progressive finance experience, with at least 5 years in a manufacturing or plant environment.
* Strong knowledge of cost accounting principles.
* Experience supporting supply chain and operations functions, including procurement, logistics, and production planning.
* Proficient in ERP systems (SAP, Oracle, etc.)",Finance,6
https://www.linkedin.com/jobs/view/hr-operations-supervisor-at-al-ahly-momkn-4321825432?skipRedirect=true&locale=en_US,HR Operations Supervisor,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt",Full-time,Engineering,Mid-Senior level,,3 days ago,Financial Services,"A subsidiary of Al Ahly Capital, Al Ahly Momkn is a fast-evolving Fin-tech company committed to promoting secure, convenient & seamless payment solutions and financial services for business owners, service providers and consumers across Egypt.
At Al Ahly Momkn, we foster a culture of innovation, collaboration, and personal growth.
We believe in empowering our employees to unleash their full potential and make a real impact in their roles. As part of our team, you'll have the opportunity to work on exciting projects, learn from industry experts, and be part of a supportive and inclusive community.
HR Operations Management:
Supervise and coordinate the end-to-end HR administrative processes including employee lifecycle “onboarding, offboarding, internal transfer, status change, etc.” in a timely and accurate manner.
Resolve employee issues effectively and ensure timely support.",,"Liaise with governmental bodies like the Labor and social insurance offices.
Ensure compliance with labor laws, company policies, and industry regulations across all HR operational activities.
Manage employment contracts, probation reviews, contract renewal process, and documentation compliance.
Employee Data Management:
Oversee the accuracy, confidentiality, and integrity of employee data across HR system and database.
Manage employee records lifecycle, including creation, updates, archival"" physical & Digital"", and deletion in compliance with data protection regulations.
Ensure timely and accurate updates to employee information such as promotions, transfers, status changes, and personal details.
Conduct regular audits of employee data to identify discrepancies and ensure compliance with internal policies and external regulations.
Support data-driven decision-making by providing clean, structured, and reliable employee data for analytics and reporting.
Social, Medical & Life Insurance:
Manage & handle the administration of the medical insurance program, including approvals, refunds, monthly chronic cases, complaints, critical cases and claims.
Manage the administration of the life insurance program.
Manage & handle the renewal process for the medical & Life insurance.
Supervise the social insurance process such as “forms 1, 2, & 6, title change requests, etc.”.
Review the social insurance monthly statement transaction before payment process.
Team Leadership:
Lead and coach a team of HR Operations Specialists/Seniors/ Team Leader.
Monitor performance, provide feedback, and support career development of the team.
Process Improvement & Projects:
Identify opportunities to streamline and automate HR processes, reducing manual work and improving efficiency.
Partner with the stakeholders to implement process enhancements and system upgrades.
Lead or participate in HR projects such as policy reviews, audits, or employee experience initiatives.
Reporting & Analytics:
Generate and analyze HR reports (headcount, attrition, demographics, e.g.) to support HR decision-making.
Monitor HR SLAs, KPIs, and service delivery quality for the HR Operations team.
Bachelor’s degree in Business Administration or a related field.
6+ years of experience in HR Operations.
Solid understanding of social insurance and labor laws.
Ability to manage multiple priorities and lead process improvements.
Problem-solving mindset with a focus on operational excellence.
Good command of English.
Proficient in MS Office.
Benefits
Embark on an exciting journey with the Fin-Tech Experts.
Join a workplace that actively encourages and supports all talents.
A support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self.
Join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.",Engineering,7
https://www.linkedin.com/jobs/view/assistant-team-leader-accounts-receivable-modern-trade-at-juhayna-food-industries-4315938263?skipRedirect=true&locale=en_US,Assistant Team Leader - Accounts Receivable - Modern Trade,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"El Sheikh Zaid, Al Jizah, Egypt",Full-time,Finance and Accounting/Auditing,Associate,,3 weeks ago,"Food and Beverage Services, Financial Services, and Food and Beverage Manufacturing","Who we are
For over three decades, Juhayna Food Industries has been a pioneer in Egypt’s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. Since 1983, we have built trusted household brands, expanding our presence across Egypt and the Middle East through a commitment to high-quality, safe, and healthy products.
Today, with four state-of-the-art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000-feddan dairy farm housing over 7,000 milking cows, Juhayna continues to set benchmarks for premium Egyptian products. Our success stems from our people, who embody the values of
Integrity, Achievement, Continuous Improvement, Innovation, Ownership, and Positivity.
Job Purpose
The Assistant Team Leader – Accounts Receivable – Modern Trade is responsible for supporting the effective management and collection of receivables from modern trade partners, ensuring timely cash flow and minimizing financial risk. This role assists in supporting the AR team, monitoring account reconciliations, resolving discrepancies, and maintaining strong relationships with key customers. The position contributes to achieving the company’s financial objectives by ensuring accurate reporting, compliance with internal policies, and continuous process improvement within the AR function.",Perform monthly account reconciliations and follow up on discrepancies.,"Prepare and send customer monthly statements of accounts.
Prepare and send customer balance confirmations on quarterly & annual basis.
Work closely with the sales and collections teams to resolve outstanding receivables and ensure clearing the collections on time.
Assist in the month-end closing process by ensuring all AR entries / contract clauses are accrued correctly & are accurate and complete.
Strong knowledge with ETA process and cycle and validate sent/received invoices.
Maintain accurate and up-to-date AR aging reports and ensure that over dues are communicated and collected on time.
Support external audits with necessary documentation and explanations.
Support in weekly & monthly reports sent to account managers & other internal stakeholders.
Understand and apply basic tax concepts relevant to AR processes (e.g., VAT, withholding).
What you will bring to the role
Bachelor’s degree of business or any equivalent.
From 1 to 3 years of experience.
SAP background would be preferable.
Proficient in Microsoft Excel.
Ability to work independently and take ownership of tasks.
Dedicated, dependable, and a proactive problem-solver.",Finance,8
https://www.linkedin.com/jobs/view/sales-account-manager-at-al-ahly-momkn-4321467241?skipRedirect=true&locale=en_US,Sales Account Manager,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Qesm El Maadi, Cairo, Egypt",Full-time,Business Development,Mid-Senior level,,4 days ago,Financial Services,"Sales Account Manager with below criteria and conditions on business development department (Gov sector).
Title :- Sales Account manager
Years of experience :- from 3-5 years
Relevance:- Sales specially on education or Gov sector / fintech
Having a Car:- is a must",".
· Provides management and support for new business pipeline development
· Manages a database of partners, setting up meetings and facilitating relationships with existing customers and new ones
· Develop and acquire new business to achieve the company's objectives
· Negotiate, manage, and review ongoing contracts with clients
Benefits
Embark on an exciting journey with the Fin-tech Experts.
Join a workplace that actively encourages and supports all talents.
A support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self.
Join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.",,Business,9
https://www.linkedin.com/jobs/view/manager-administration-facility-management-at-juhayna-food-industries-4316415369?skipRedirect=true&locale=en_US,Manager - Administration & Facility Management,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt",Full-time,"Administrative, General Business, and Management",Mid-Senior level,,3 weeks ago,Food and Beverage Services,"Job description:
Who we are
For over three decades, Juhayna Food Industries has been a pioneer in Egypt’s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. Since 1983, we have built trusted household brands, expanding our presence across Egypt and the Middle East through a commitment to high-quality, safe, and healthy products.
Today, with four state-of-the-art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000-feddan dairy farm housing over 7,000 milking cows, Juhayna continues to set benchmarks for premium Egyptian products. Our success stems from our people, who embody the values of
Integrity, Achievement, Continuous Improvement, Innovation, Ownership, and Positivity.
Job Purpose
The Facility Manager is responsible for overseeing all facility operations across multiple locations, ensuring full compliance with local regulations, operational efficiency, and optimal working conditions. The role involves managing maintenance, services, budgets, and teams to guarantee smooth daily operations and continuous improvement of facility standards. As well as maintaining positive work relationships with all stakeholders and creating a climate of trust, consideration, and mutual respect.",,"Lead and manage the Central Maintenance and Coolers Teams, overseeing building and equipment maintenance projects from planning to execution, including budgeting, scheduling, quality control, and coordination with contractors and service providers. Ensure optimal performance through effective outsourcing management, cost efficiency, and regular team performance evaluation.
Oversee and monitor departmental budgets, expenditures, and performance reports, ensuring alignment with corporate financial objectives.
Coordinate with the Fleet Department to maintain uninterrupted fleet operations and prevent downtime.
Supervise facility services across branches, ensuring proper alignment and efficiency in transportation, housekeeping, and waste management.
Manage lease agreements for rented branches, including rent renewals, reallocation, and contract negotiations when required.
Supervise and support facility teams across branches, conducting regular follow-ups, site visits, and performance evaluations to ensure service quality and compliance with company standards.
What you will bring to the role
Bachelor’s degree in business administration, Engineering or a related field.
Proven experience in budgeting, project management, and vendor management.
Ability to travel regularly between locations.
Experience:
Minimum of 7–10 years of experience in facilities or operations management, preferably in multi-site environments.",Administrative,10
