filename,duration_sec,loudness_mean,loudness_std,noisiness_mean,noisiness_std,brightness_mean,brightness_std,silence_ratio,speech_ratio,pause_count,long_pause_count,long_pause_total_sec,long_pause_max_sec,words_per_min
1,40.75,0.0292,0.0228,0.1737,0.1187,1889.38,1003.34,0.2,0.8,39,6,3.39,0.67,153.1
13,55.32,0.0696,0.0464,0.0932,0.0718,1149.93,780.3,0.2,0.8,40,2,4.16,3.62,165.9
11,87.53,0.0447,0.0295,0.1239,0.1128,1529.17,1099.11,0.2,0.8,68,12,8.67,1.28,154.2
10,72.9,0.0421,0.0275,0.1178,0.1136,1524.25,983.53,0.2,0.8,36,2,2.88,2.3,156.4
12,75.93,0.0686,0.0425,0.1146,0.099,1476.16,950.45,0.2,0.8,54,5,5.63,3.46,169.1
20,40.4,0.0569,0.0329,0.1578,0.0786,2016.4,772.22,0.2,0.8,78,0,0.0,0.0,212.4
18,13.35,0.1173,0.0545,0.1649,0.1356,2032.16,1140.14,0.201,0.799,17,1,0.64,0.64,134.8
2,38.52,0.0301,0.0271,0.1635,0.0986,1850.01,902.64,0.2,0.8,29,5,3.87,0.99,193.1
21,19.78,0.0734,0.0457,0.133,0.0941,1620.01,881.55,0.2,0.8,19,3,2.21,0.86,221.4
19,27.54,0.1142,0.0537,0.152,0.0858,1980.83,814.56,0.2,0.8,43,0,0.0,0.0,180.8
15,56.89,0.062,0.0397,0.1448,0.1121,1755.02,1024.1,0.2,0.8,61,5,4.13,1.34,182.5
17,59.98,0.037,0.0256,0.1109,0.0746,1457.08,763.5,0.2,0.8,72,7,4.54,0.74,178.1
14,47.86,0.0297,0.0206,0.0771,0.0722,1149.17,772.09,0.2,0.8,21,5,5.02,1.38,185.6
16,31.97,0.2293,0.053,0.0738,0.0231,1232.9,347.54,0.2,0.8,59,0,0.0,0.0,204.5
8,60.12,0.0469,0.0366,0.1846,0.1473,2089.19,1301.23,0.2,0.8,48,7,5.76,1.76,179.6
9,30.38,0.0446,0.0315,0.1264,0.1254,1602.51,1073.88,0.2,0.8,13,5,3.42,0.86,156.0
22,25.92,0.0447,0.0243,0.1177,0.109,1439.12,1030.01,0.2,0.8,25,3,2.08,0.8,194.4
6,24.22,0.0203,0.0077,0.0731,0.0261,1169.6,311.02,0.201,0.799,33,1,0.51,0.51,188.3
4,64.71,0.0139,0.0096,0.1115,0.0917,1490.58,927.8,0.2,0.8,49,5,3.1,0.77,136.3
5,18.83,0.0964,0.0663,0.0752,0.0568,1375.07,587.25,0.2,0.8,10,2,2.18,1.31,156.1
7,40.05,0.025,0.0151,0.0869,0.0354,1367.64,390.66,0.2,0.8,30,3,2.59,1.25,65.9
3,47.58,0.0388,0.0236,0.1942,0.1603,2207.36,1327.77,0.2,0.8,44,4,3.23,1.12,171.5
23,23.61,0.1166,0.0666,0.1251,0.0923,1568.99,840.46,0.201,0.799,17,3,2.27,1.06,182.9
26,49.18,0.0313,0.0292,0.1856,0.1483,2155.46,1219.53,0.2,0.8,28,4,4.32,1.6,125.7
27,45.14,0.0181,0.0106,0.154,0.1059,1870.61,942.42,0.2,0.8,34,6,3.74,0.93,187.4
30,20.6,0.0336,0.0219,0.0867,0.0343,1280.12,441.22,0.2,0.8,13,0,0.0,0.0,128.2
25,41.96,0.0489,0.0274,0.1152,0.0595,1706.84,611.4,0.2,0.8,38,4,3.46,1.02,174.5
28,26.42,0.014,0.0099,0.0785,0.0442,1237.4,512.63,0.2,0.8,27,1,0.58,0.58,43.1
31,30.02,0.0294,0.0198,0.0849,0.0443,1389.96,458.01,0.2,0.8,19,3,3.26,1.73,64.0
32,25.36,0.0205,0.0109,0.0801,0.0421,1206.84,479.27,0.201,0.799,13,6,3.36,0.61,78.1
24,53.48,0.0333,0.036,0.1076,0.1189,1349.62,1265.58,0.0,1.0,0,0,0.0,0.0,117.8
29,17.02,0.0251,0.0141,0.0974,0.0571,1409.19,632.3,0.201,0.799,14,1,0.67,0.67,155.1
