filename,Professionalism,Confidence,Engagement,Enthusiasm,Communication,Presentation,Clarity_of_Thought,Positivity
1,22.32515186848626,24.274055349697083,27.66731342800766,24.350523765950093,25.118650449134147,31.36727221429556,10.0,26.7347320880858
2,26.74202999085179,29.64120393405595,21.52813607092614,18.778412120911625,33.529725133001904,34.5810477581696,19.740824697474267,18.163976914592993
3,22.231299083987732,26.23637021712037,24.813413791891552,20.88821774831835,28.874649991162542,34.53776604477488,13.15137142776721,20.004393076400724
4,30.505533403491473,26.801223459086305,22.15217061925034,19.188237292914042,33.62432307609904,36.04458126214186,16.597973298373695,26.780298735452124
5,16.127128970762996,17.002374191746753,23.14405322007081,23.599776832496218,26.58800595898834,20.296608474343724,22.762279954074344,20.531991207900607
6,36.8294056060968,33.42487503466484,22.588196081090466,18.61306502308934,37.86851731071651,37.57740651053108,23.42386686029385,26.469375928376778
7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,19.999669958652667,23.665444668562756,16.58067607349927,14.948730372461718,27.673202663529526,31.362615840047376,10.775329037320162,10.75790020563339
9,25.21292546150259,24.943406489943744,24.605060497265658,21.119974914962498,33.58142911918297,32.16404923678474,22.247426936701952,24.9594143617542
10,30.476292301640576,28.51633046232781,25.81206812428705,23.599498605531096,35.60157438706727,36.12966989361688,19.60737184811894,27.68924307206268
11,10.0,10.0,10.0,10.0,10.0,10.993640988376626,10.0,10.0
12,10.0,10.0,11.340831202253952,12.237131002135328,10.0,10.0,10.0,10.0
13,22.311312670231484,20.894627365758144,20.518098139336825,24.496317349945027,27.49870771249776,25.36015023944242,14.045113160697191,21.49714455661075
14,14.37143970560659,12.124157914795099,10.0,10.0,23.617550736967853,18.689866015329606,18.3775682136542,10.0
15,10.0,10.0,16.85473593645512,17.571416928684428,10.0,13.827704119645354,10.0,11.815729939111847
16,34.50023365359409,38.31263221959682,27.27254689187703,25.109033089904212,37.906953581208384,36.38371112253347,26.203888872728914,22.97130664420154
17,27.157691931090472,25.71372417337776,17.180996538014433,16.012442176709868,32.06297370642163,31.992422616575986,13.9223277310576,18.307889314115748
18,17.84784618734239,23.904544454411813,33.255911478384476,26.53072642316507,27.730311449547422,28.56721805794888,21.081196189445308,26.272996386116045
19,14.988138558288206,23.19978888683619,34.256160209610236,27.63986350086416,23.717865115408912,24.557049450139118,15.56950960791795,26.720610802794752
20,25.8062801557095,31.71190109994247,35.016234839859735,30.601535543349552,32.643184092720205,34.43981953851935,17.043763530389917,30.516902090959505
21,31.12194598144798,34.692068173994045,18.190982326880214,15.40577958750233,39.71579016498503,36.70112535402821,26.394089589441133,10.682500189767559
22,17.724857768627174,18.806557016953363,12.056615563252734,16.351202496071146,25.84289329060178,24.47910215224067,18.01932242629831,10.0
23,31.583347472412974,34.187245645622596,20.307950081672573,18.608271803200733,38.67823782899829,36.37673927530163,25.218792808771326,12.281135605064009
24,30.715555478019475,37.56457141632806,47.30806838805424,41.42899686646128,52.30908823415445,34.10728653464048,38.5502818974376,42.14476149820696
25,17.14451131357783,18.234078830427652,21.84896202218865,22.809321539360756,23.5025679695878,24.232152687019422,15.239387940133291,22.227087294996696
26,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
27,28.147156202307663,29.19952276432993,26.347425725544795,23.729298374817205,33.613569356527634,36.4952579111244,18.99874321699319,27.736376544493798
28,21.073193056982717,13.204610216963466,16.31988462011426,14.760008163605455,12.114866282934273,24.544764072507313,10.0,21.637942197071958
29,34.969656197821294,32.29000110640672,24.6852693796121,20.371063019786583,36.21710422095125,38.443733292543676,22.21426499927685,27.35802179065629
30,30.777219071186934,27.416501793088372,20.889777726222842,20.031931190284453,32.356827700625296,33.03448198748147,23.184820125890756,22.17321372142081
31,19.33241609791579,12.157681996606982,17.28953492685222,18.782328744497477,11.357150515313151,23.641299133790902,10.0,23.41146096966559
32,20.75181329595134,13.346443521697559,14.572320235766888,15.82080363571896,12.91860785779383,23.97489907461862,10.0,21.321075300247912
