id,no_of_filler_words,head_tilts_class(0-2),eye_focus_class(0-2),smiling_class(0-2),posture_class(0-2)
1,1,b,c,c,c
2,0,b,c,b,c
3,0,b,c,b,c
4,0,a,c,c,c
5,1,c,b,c,a
6,1,a,c,c,c
7,4,c,a,a,a
8,0,a,c,a,c
9,0,b,c,c,b
10,0,b,c,c,c
11,3,b,b,a,b
12,4,c,b,b,a
13,1,c,b,c,c
14,1,b,a,a,b
15,3,c,b,b,b
16,0,b,c,b,b
17,0,b,c,b,c
18,0,c,c,c,a
19,1,c,c,c,a
20,0,b,c,c,c
21,0,a,c,a,c
22,1,b,a,b,c
23,0,a,c,a,c
24,0,b,c,c,c
25,1,b,b,c,b
26,4,a,a,a,a
27,0,b,c,c,c
28,4,c,b,c,c
29,1,a,c,c,c
30,1,c,b,c,c
31,4,b,b,c,c
32,4,c,b,c,c
